title,url,description,learning_type,duration,course_outline,target_audience
Genesys Cloud CX: An Overview,https://beyond.genesys.com/explore/course/genesys-cloud-cx-an-overview,"Formerly known as Overview of Genesys Cloud CX, this course provides an overview to the Genesys Cloud CX interface and expands your understanding of the administration of a contact center.",Elearning,15 mins,"['Explain the basics of Genesys Cloud CX Contact Center Administration.', 'Discuss the purpose of Genesys Cloud CX Architect in a contact center.', 'Utilize Genesys Cloud CX supervisor tools.', 'Explain the use of Scripting in a Genesys Cloud CX contact center.', 'Outline the basic features of outbound dialing.', 'Describe Quality Management in a Genesys Cloud CX contact center.', 'Describe Workforce Management in a Genesys Cloud CX contact center.', 'Overview of the Genesys Cloud CX PlatformOverview of the Genesys Cloud CX PlatformFeatures of Genesys Cloud CX CollaborateFeatures of Genesys Cloud CX Contact CenterGenesys Cloud CX Contact Center FeaturesArchitectSupervisor Tools – Reports and DashboardsScripts and Basic Script Functionality Outbound Quality Management Workforce Management']",System Administrators; Administrators; Agents; Supervisors; Business Users
Introduction to Genesys Cloud for Agents: Working Together,https://beyond.genesys.com/explore/course/introduction-to-genesys-cloud-for-agents-working-together,"Genesys Cloud is an easy and intuitive suite of cloud services for communication, collaboration, and customer experience management. This course shows you how using the directory and Agent Assistance help allow you to effectively interact and easily find assistance. It includes the following topics:",Elearning,20 mins,"['Using the Directory', 'Agent Assistance', 'Use the Directory and External Contact features in Genesys Cloud.', 'Explain the Agent Assistance feature in Genesys Cloud.', 'Create a group to interact with your team.', 'Discuss the Workspace feature in Genesys. Cloud.', 'Using the Directory']",Agents
Introduction to Genesys Cloud for Agents: The Basics,https://beyond.genesys.com/explore/course/introduction-to-genesys-cloud-for-agents-the-basics,"This course introduces you to Genesys Cloud. You will also learn the basics of Genesys Cloud such as logging in, setting up a phone, and navigating the interface. In addition, this course helps you to use presence and status features.",Elearning,20 mins,"['Log in and select a phone.', 'Navigate Genesys Cloud.', 'Use the multi-contextual panel for the Genesys Cloud agent workspace.', 'Manage your presence and status.', 'Use queues.', 'Log out of Genesys Cloud at the end of your shift.', 'The course introduces you to Genesys Cloud. You will also learn the basics of Genesys Cloud such as logging in, setting up a phone, and navigating the interface. In addition, this course helps you to use presence and status features. It includes the following topics:Log in and Set up Your PhoneNavigate Genesys CloudUse Multi-Contextual PanelManage Presence and StatusManage QueuesFinish the DayAdditional Features - Status', 'Log in and Set up Your Phone']",Agents
Genesys Cloud: Edge - Survivability,https://beyond.genesys.com/explore/course/genesys-cloud-edge-survivability,"Genesys Cloud: Edge – Survivability eLearning provides an overview into the potential failures that might occur and how to prepare for them. As System Administrators, you will learn what disaster scenarios could result in a failure or outage and how to mitigate the impacts of a failure situation using preconfigured options. The course also presents testing considerations for your environment to ensure it is prepared in the event of an outage.",Elearning,15 mins,"['How Survivability Works', 'Best Practices', 'Survival Tests']",Developers; System Administrators; Administrators
Genesys Cloud CX: Development and Feedback - Usage for Agents,https://beyond.genesys.com/explore/course/genesys-cloud-cx-development-and-feedback-usage-for-agents,Genesys Cloud CX: Development and Feedback – Usage for Agents eLearning course provides an agent with the basic concepts on how to access and complete a development and feedback module.,Elearning,10 mins,"['View an assigned development and feedback module', 'Complete an assigned module', 'Viewing a Development and Feedback module', 'Completing a Development and Feedback module']",Agents
Genesys Cloud: WEM - Development and Feedback - Usage for Supervisors,https://beyond.genesys.com/explore/course/genesys-cloud-wem-development-and-feedback-usage-for-supervisors,"This course provides an overview of development and feedback modules. You will learn how to create development and feedback modules, add content and questions, and assign the modules to agents. Furthermore, this course assists you in editing development and feedback modules that you have already created.",Elearning,25 mins,"['Describe the capabilities of development and feedback modules in Genesys Cloud.', 'Create new development and feedback modules.', 'Add SCORM-compliant packages to learning modules.', 'Edit user-created development and feedback modules.', 'Archive/unarchive development and feedback modules.', 'Assign modules manually to specific agents based on requirements.']",Supervisors; Managers
Genesys Cloud CX: WEM - Time Off for Agents,https://beyond.genesys.com/explore/course/genesys-cloud-cx-wem-time-off-for-agents,Genesys Cloud CX: WEM -Time Off for Agents cover concepts to provide agents information on how to view and submit Time Off requests using Genesys Cloud Workforce Management.,Elearning,10 mins,"['Describe how agents can view and submit a time off request.', 'Demonstrate how agents can see a summary of their time-off requests.', 'Describe how time-off requests can be waitlisted when time-off limits are reached.', 'Describe conditions where agents can edit a time-off request after it has been created.', 'Describe time-off limits', 'Demonstrate how to see time-off notifications in the inbox', 'Navigate the My Time Off Dialog Box']",Agents
Genesys Cloud CX: Performance Views for Agents,https://beyond.genesys.com/explore/course/genesys-cloud-cx-performance-views-for-agents,"This course introduces you to the basic concepts of performance monitoring and management. As an agent, you will learn how to track your metrics, time in statuses, evaluations, interactions, schedules, real-time work performance, and learning modules. Additionally, this course equips you with the skills to customize your performance views and learn a few best practices on performance management.",Elearning,30 mins,"['Explain the purpose and functionality of different Performance views.', 'Demonstrate how to customize and save views.', 'Describe how to export, schedule, and manage view data efficiently.', 'Outline the best practices for exporting view data.', 'Explain the function of My Queues Activity view.']",Agents
Genesys Cloud: WEM - Quality Management - Reviewing My Evaluations,https://beyond.genesys.com/explore/course/genesys-cloud-wem-quality-management-reviewing-my-evaluations,"Genesys Cloud: WEM - Quality Management - Reviewing My Evaluations course covers concepts to provide agents an overview about how to access, review, dispute, and complete their evaluations using Genesys Cloud.",Elearning,10 mins,"['Demonstrate how agents can view their evaluations data under Performance > Workspace > My Evaluations.', 'Explain the various actions an agent can perform, such as saving the view, activating or deactivating a queue, exporting view data, scheduling an export, and customizing the columns.', 'Demonstrate how agents can view evaluations from the Inbox.', 'Describe how agents can open the interaction’s detail page to complete or review their evaluations.', 'Demonstrate how agents can dispute their evaluations.', 'My Evaluations View', 'Review Your Evaluations']",Agents
Genesys Cloud: WEM - Using Genesys Tempo Mobile Application,https://beyond.genesys.com/explore/course/genesys-cloud-wem-using-genesys-tempo-mobile-application,"This course introduces you to the Genesys Tempo mobile application. You will learn how to view your workforce management schedules and manage your time off and shift trades using this app. In addition, this course equips you with the knowledge to provide feedback on the Genesys Tempo mobile application.",Elearning,15 mins,"['Log in and out of the Genesys Tempo mobile application.', 'View potential shifts for unpublished schedules.', 'View your workforce management schedules.', 'Handle requests for time off and shift trades.', 'Submit late notifications to your supervisors.', 'Submit feedback about Genesys Tempo mobile application.', 'Access Genesys Tempo']",Agents; Supervisors
Genesys Cloud: API - User Management,https://beyond.genesys.com/explore/course/genesys-cloud-api-user-management,"Genesys Cloud: API - User Management eLearning explains how to manage users using the User APIs. Using User APIs, administrators and developers can fetch user details, create and delete users, create and assign skills, and update passwords. The eLearning course also demonstrates how to change a user’s presence and routing status through User APIs.",Elearning,25 mins,"['Overview', 'User Management - 1', 'User Management - 2']",Developers
Genesys Cloud: API - Conversation Management,https://beyond.genesys.com/explore/course/genesys-cloud-api-conversation-management,"Genesys Cloud allows users to manage the participant in the conversation using the platform API. The term conversation refers to an interaction between multiple participants over a media channel, such as web messaging, phone, or email. Genesys Cloud: API - Conversation Management eLearning provides an overview to the concepts related to conversation management in Genesys Cloud. It also explains how to configure system alerts using platform API.",Elearning,20 mins,"['Overview', 'Participation Management', 'System Alerts']",Developers
Genesys Cloud: Contact Center Administrator - Scripting,https://beyond.genesys.com/explore/course/genesys-cloud-contact-center-administrator-scripting,Genesys Cloud: Contact Center Administrator- Scripting eLearning is designed to explain what scripting is and how it can be utilized by a contact center administrator to improve the agents' effectiveness. The eLearning provided in this course will cover basic knowledge about how to build scripts and the different tools used inside of the script editor.,Elearning,35 mins,"['Genesys Cloud: Contact Center Administrator - Scripting eLearning: Introduction to Scripts Script Components Script Pages Script Properties Script Variables Actions Usage in Scripts Component Templates Usage in Scripts', 'Introduction to Scripts', 'Script Components', 'Script Pages', 'Script Properties', 'Script Variables', 'Actions Usage in Scripts', 'Component Templates Usage in Scripts']",System Administrators; Administrators
Genesys Cloud: Contact Center Administrator - ACD,https://beyond.genesys.com/explore/course/genesys-cloud-contact-center-administrator-acd,"Genesys Cloud: Contact Center Administrator- ACD e-learning is designed to provide knowledge necessary understand what Automatic Call Distribution (commonly known as ACD) means Genesys Cloud Contact Center. Depending on your needs, the processing can be simple- for example, just delivering the interaction to the next agent on the list – or more complex, like using bullseye routing along with agent utilization. The following e-learning covers introductory ACD, ACD Routing, and lastly ACD Utilization Option configurations within Genesys Cloud.",Elearning,15 mins,"['Genesys Cloud: Contact Center Administrator-ACD covers the following objectives: Introduction to Automatic Call Distribution (ACD) Automatic Call Distribution (ACD) Routing Automatic Call Distribution (ACD) Utilization Options', 'Introduction to Automatic Call Distribution (ACD)', 'Automatic Call Distribution (ACD) Routing', 'Automatic Call Distribution (ACD) Utilization Options']",System Administrators; Administrators
Genesys Cloud: Contact Center Administrator - Initial Configuration,https://beyond.genesys.com/explore/course/genesys-cloud-contact-center-administrator-initial-configuration,"Genesys Cloud: Contact Center Administrator- Initial Configuration e-learning is designed to provide knowledge necessary to administer Genesys Cloud Contact Center. Configuring Contact Center starts with observing the initial settings that make up the foundation Genesys Cloud Contact Center by walking through concepts such as: Wrap-Up Codes, Skills and Language Configuration, Queue Configuration and Management, and lastly Email Routing. Establishing this base knowledge is recommended to better understand how to administer Genesys Cloud.",Elearning,20 mins,"['Genesys Cloud: Contact Center Administrator- Initial Configuration covers the following objectives: Wrap-Up Codes Skill and Language Configuration Queue Configuration and Management Email Objectives', 'Wrap-Up Codes', 'Skill and Language Configuration', 'Queue Configuration and Management', 'Email Objectives']",System Administrators; Administrators
Genesys Cloud Performance Dashboards,https://beyond.genesys.com/explore/course/genesys-cloud-performance-dashboards,"Genesys Cloud allows you to quickly create and share customizable performance dashboards with your team, no matter where you’re working from. With simple to use widgets and a variety of graphing and visual options, you can create custom dashboards of key metrics important to your contact center, such as handle time, wrap-up codes, bot flows, and more.",Elearning,25 mins,[],
Introduction to Genesys Cloud for Supervisors: Additional Features,https://beyond.genesys.com/explore/course/introduction-to-genesys-cloud-for-supervisors-additional-features,"This course introduces you to some of the advanced features and settings in Genesys Cloud that supervisors can perform. You’ll learn about outbound dialing and how to create, run, and manage outbound campaigns and scripts. In addition, you’ll learn how to monitor and evaluate agent interactions.",Elearning,15 mins,"['Create, run, and monitor outbound campaigns.', 'Create and work with scripts.', 'Monitor and assist live agent interactions.', 'Assign and evaluate agent interactions.', 'The following sections are available in the course:Outbound DialingScriptsMonitor, Coach and Barge InEvaluation', 'Outbound Dialing', 'Scripts', 'Monitor, Coach and Barge In']",Supervisors; Managers
Introduction to Genesys Cloud for Supervisors: Analytics and Reporting,https://beyond.genesys.com/explore/course/introduction-to-genesys-cloud-for-supervisors-analytics-and-reporting,"This course introduces you to the analytics and reporting features of Genesys Cloud. You will also learn to access and view various dynamic views, dashboards, reports, and alerts. In addition, this course also explains how to create new dashboards, reports, and alerts.",Elearning,30 mins,"['Identify the analytics and reporting features of Genesys Cloud.', 'Access dynamic views, dashboards, and alerts.', 'Export historical reports.', 'Create new dashboards and custom alerts.', 'The following sections are available in this course:IntroductionDynamic ViewsExported ReportsDashboardsAlerts', 'Introduction', 'Dynamic Views', 'Exported Reports']",Supervisors
Genesys Cloud CX: AI - Predictive Engagement - Web Tracking for Developers,https://beyond.genesys.com/explore/course/genesys-cloud-cx-ai-predictive-engagement-web-tracking-for-developers,"This course walks you through the step-by-step configuration of tracking and managing visitor activity by Genesys Predictive Engagement on a website. In addition, this course equips you with the knowledge of how developers use the Messenger JavaScript software development kit (SDK) to customize the web tracking settings.",Elearning,15 mins,"['Genesys Cloud: Web Messaging', 'Genesys Cloud CX: AI - Predictive Engagement - Setup and Configuration', 'Genesys Cloud CX: AI - Predictive Engagement - Working with Action Maps', 'Explain the importance of web tracking.', 'Configure web tracking settings.', 'Customize web tracking settings.', 'Overview']",Developers; System Administrators; Administrators; Business Users
Genesys Cloud CX: AI - Predictive Engagement - Setup and Configuration,https://beyond.genesys.com/explore/course/genesys-cloud-cx-ai-predictive-engagement-setup-and-configuration,"This course explains the setting up and configuration of Genesys Predictive Engagement to work with web messaging. In addition, this course equips you with the knowledge of the Genesys Predictive Engagement feature and how it works.",Elearning,30 mins,"['Genesys Cloud CX: Web Messaging', 'Genesys Cloud CX: AI - Unified Experience with Bots, GPE, and GPR', 'Fulfill the initial tasks required to start the configuration of the Genesys Predictive Engagement.', 'Configure Genesys Messenger and deploy it to your website.', 'Configure web tracking.', 'Configure Genesys Predictive Engagement commands and events.', 'Create segments.', 'Create outcomes.', 'Create action maps.']",Administrators; Business Users
Genesys Cloud CX: AI - Predictive Routing - Configuration,https://beyond.genesys.com/explore/course/genesys-cloud-cx-ai-predictive-routing-configuration,The Genesys Cloud CX: AI - Predictive Routing – Configuration course explains the steps to configure predictive routing in Genesys Cloud CX. Predictive routing uses AI to discover the best available match between an agent and specific interaction. Learn how to activate and monitor predictive routing in your organization.,Elearning,20 mins,"['Explains the steps involved in configuring predictive routing.', 'Explains the routing methods and additional setting required for predictive routing.', 'Explains the process of activating and monitoring predictive routing.', 'Queue ConfigurationCreating a QueueRouting and EvaluationsAdditional ConfigurationTimeoutSkill MatchingActivate and Monitor Predictive RoutingActivate Predictive Routing on a QueueOngoing Value Monitoring', 'Creating a Queue', 'Routing and Evaluations', 'Timeout', 'Skill Matching']",Administrators; Business Users
Genesys Cloud CX: WEM - Speech and Text Analytics - Topic Spotting,https://beyond.genesys.com/explore/course/genesys-cloud-cx-wem-speech-and-text-analytics-topic-spotting,Topic spotting is a set of speech and text analytics metrics that can improve the business outcome.,Elearning,20 mins,"['Describe topics, programs, and phrases.', 'Explain the prerequisites of topics, programs, and phrases.', 'Create, edit, and delete topics, programs, and phrases.', 'Course Overview', 'Topics, Programs, and Phrases Overview', 'Topics', 'Programs']",System Administrators; Administrators
Genesys Cloud CX: AI - Predictive Routing - Getting Started,https://beyond.genesys.com/explore/course/genesys-cloud-cx-ai-predictive-routing-getting-started,Genesys predictive routing (GPR) is an artificial intelligence (AI) based mechanism that matches and routes each interaction to the best available agent.,Elearning,20 mins,"['Explain the advantages of predictive routing over the other routing methods.', 'Perform a benefit assessment evaluation to explore where it might benefit your organization.', 'Perform the steps to start a routing methods comparison test and view its results.', 'Explain the data considerations for queue optimization.', 'Predictive Routing Overview', 'Benefit Assessment', 'Comparison Test']",Administrators; Business Users
Genesys Cloud CX: AI/Bots - Knowledge Workbench,https://beyond.genesys.com/explore/course/genesys-cloud-cx-ai-bots-knowledge-workbench,,,,[],
Genesys Cloud Contact Center Features,https://beyond.genesys.com/explore/course/genesys-cloud-contact-center-features,This course provides an introduction to Genesys Cloud features and expands your understanding of the administration of a contact center.,Elearning,5 mins,"['Discuss the purpose of Genesys Cloud Architect in a contact center.', 'Utilize Genesys Cloud supervisor tools.', 'Explain the use of Scripting in a Genesys Cloud contact center.', 'Outline the basic features of outbound dialing.', 'Describe Quality Management in a Genesys Cloud contact center.', 'Describe Workforce Management in a Genesys Cloud contact center.', 'Genesys Cloud Contact Center FeaturesArchitectSupervisor Tools – Dynamic Views and DashboardsScripts and Basic Script Functionality Outbound Quality Management Workforce Management', 'Architect']",System Administrators; Administrators; Agents; Supervisors; Business Users
Genesys Cloud Platform,https://beyond.genesys.com/explore/course/genesys-cloud-platform,"This course provides an overview of the Genesys Cloud platform and provides an introduction to Genesys Cloud Collaborate, Genesys Cloud Communicate, and Genesys Cloud Contact Center.",Elearning,10 mins,"['Explain the basics of Genesys Cloud CX Contact Center Administration', 'Overview of the Genesys Cloud PlatformFeatures of Genesys Cloud CollaborateFeatures of Genesys Cloud CommunicateFeatures of Genesys Cloud Contact Center', 'Overview of the Genesys Cloud Platform', 'Features of Genesys Cloud Collaborate', 'Features of Genesys Cloud Communicate', 'Features of Genesys Cloud Contact Center']",System Administrators; Administrators; Agents; Supervisors; Business Users
Genesys Cloud: API - License,https://beyond.genesys.com/explore/course/genesys-cloud-api-license,"This course introduces the Genesys Cloud License APIs and their practical applications. It also provides a refresher on Genesys Cloud licenses and explains how licensing impacts the allocation of free API calls for your organization. Additionally, you will gain insights into Genesys Cloud’s Fair Usage Policy, which allows most organizations to use APIs without additional charges. For those who exceed the free limit, we’ll explain how overage charges are applied and how to manage them efficiently.",Elearning,30 mins,"['Explore the core subscription plans and add-ons offered by Genesys Cloud.', 'Understand the API fair usage policy and how it applies to your organization.', 'Interpret how overage charges are calculated when API usage exceeds the fair usage policy.', 'Manage Genesys Cloud Licenses using License APIs.', 'Fair Usage Policy', 'API Fair Usage Calculation', 'Managing Licenses Through APIs']",Developers
Genesys Cloud: WEM - Voice Surveys,https://beyond.genesys.com/explore/course/genesys-cloud-wem-voice-surveys,"This course introduces you to voice surveys. You will learn to create and customize a voice survey flow from a survey form. In addition, you will learn the different features of the voice survey flow and how to attach it to an inbound callflow. The course will also showcase the best practices to follow and where to view the results of your voice surveys.",Elearning,20 mins,"['Understand the purpose of a voice survey in a contact center.', 'Identify the factors to consider before creating a voice survey flow.', 'Describe the end-to-end process of creating, deploying, and analyzing a voice survey.', 'List the best practices to follow for a voice survey flow.', 'Introduction to Voice Survey', 'Voice Survey Lifecycle', 'Voice Survey in Action']",Administrators
Genesys Cloud: Journey Management - Journey Analyzer - Building Charts,https://beyond.genesys.com/explore/course/genesys-cloud-journey-management-journey-analyzer-building-charts,"This course introduces you to charts in Journey Management. You will learn how to build a variety of foundational charts to drill down and monitor journey trends and behavior patterns over time and between journey variables. In addition, the course also covers the ways in which you can troubleshoot chart result errors.",Elearning,25 mins,"['Explain charts and their types in Journey Management.', 'Navigate the chart editor interface and understand the various options to create, edit, and manage charts.', 'Build time series charts (line format) to measure customer behavior over time.', 'Build event attribute charts (bar and column formats) to measure customer behavior by event attributes.', 'Troubleshoot errors in chart results.', 'Journey Management Charts', 'Chart Data and Formats']",Supervisors; Managers; Business Users; Analysts
Genesys Cloud: WEM - Supervisor Activity View,https://beyond.genesys.com/explore/course/genesys-cloud-wem-supervisor-activity-view,"This course explains the details of the Supervisor Activity View screen. You will learn how this view helps you analyze the agent performance, schedule adherence, learning, and coaching compliance. In addition, this course will also explain how to use the features in the supervisor activity view screen to improve agent efficiency.",Elearning,30 mins,"['Genesys Cloud: Coaching – Overview', 'Genesys Cloud: Coaching – Usage for Supervisors', 'Genesys Cloud: Development and Feedback – Usage for Supervisors', 'Genesys Cloud: WEM – Performance Management with Scoreboard Insights', 'Genesys Cloud: WFM - Monitoring and Adherence', 'Genesys Cloud: WFM - Scheduling', 'Understand and differentiate agent activity view and supervisor activity view.', 'Analyze and understand the data in the supervisor activity view widgets.', 'Use the features in the widgets to help improve agents’ performance.']",Supervisors; Managers
Genesys Cloud CX: API - Speech and Text Analytics,https://beyond.genesys.com/explore/course/genesys-cloud-cx-api-speech-and-text-analytics,"This course introduces you to Speech and Text Analytics and how to use Application Programming Interfaces (API) to fetch speech and text analytics data. During this course, you will also learn how to use the Interaction dashboard to perform sentiment analysis. In addition, this course describes the basics of customized reporting.",Elearning,60 mins,"['Use the Interaction dashboard to view the speech and text analytics data associated with an interaction.', 'Use speech and text analytics APIs to Create customized reports.', 'Speech and Text Analytics Overview', 'Speech and Text Analytics API Endpoints']",Developers; System Administrators; Administrators
Genesys Cloud CX: AI/Bots - Fundamentals,https://beyond.genesys.com/explore/course/genesys-cloud-cx-ai-bots-fundamentals,,,,[],
Genesys Cloud CX: AI/Bots - Intent Miner,https://beyond.genesys.com/explore/course/genesys-cloud-cx-ai-bots-intent-miner,,,,[],
Genesys Cloud: WEM - Time-Off Management,https://beyond.genesys.com/explore/course/genesys-cloud-wem-time-off-management,"This course explains the important time-off management features that are available in Genesys Cloud. Users with Administrator privileges can learn how to set time-off limits, create time-off plans, and configure auto-approval for time-off requests. Users with roles such as Agents, Supervisors, and Managers can learn how to manage time-off plans and time-off requests. In addition, this course will also help you learn how to synchronize time-off requests and request shift trades in Genesys Cloud.",Elearning,25 mins,"['Create and manage time-off limits.', 'Create and manage time-off plans.', 'Use staffing groups to allow time-off limits for a group of agents.', 'Navigate and manage time-off requests.', 'Synchronize time-off requests.', 'Request and accept shift trades.', 'Working with Time-off Limits']",System Administrators; Administrators; Supervisors; Managers
Genesys Cloud: Cloud Media Services - Business Continuity,https://beyond.genesys.com/explore/course/genesys-cloud-cloud-media-services-business-continuity,Genesys Cloud: Cloud Media Services – Business Continuity eLearning provides an overview into the best practices to survive business outages when using Genesys Cloud Voice. The course also highlights the various types of outages to consider when using Genesys Cloud.,Elearning,10 mins,['Business Continuity'],System Administrators; Administrators
Genesys Cloud: Cloud Media Services - Purchase to Port,https://beyond.genesys.com/explore/course/genesys-cloud-cloud-media-services-purchase-to-port,Genesys Cloud: Cloud Media Services – Purchase to Port eLearning provides an overview of the process to acquire phone numbers for Genesys Cloud Voice. Phone number options include toll-free numbers and Direct Inward Dialing (DID) numbers. The course provides insight into managing the numbers acquired. Usage Report overview is also covered for exploration into tracked data of voice service consumption.,Elearning,35 mins,"['Location and site setup in Genesys Cloud Voice', 'Purchasing phone number process overview', 'Porting number process overview', 'Managing porting requests and Genesys Cloud Voice numbers', 'Emergency service support overview', 'Usage report overview of voice service consumption data', 'Locations and Site Setup']",System Administrators; Administrators
Genesys Cloud CX: Gamification,https://beyond.genesys.com/explore/course/genesys-cloud-cx-gamification,"Gamification can help your organization achieve its objectives by defining goals, organizing profiles, and creating metrics to drive agent performance, increase productivity, and manage expectations.",Elearning,25 mins,"['Explain how Gamification can help in the call center.', 'Create and configure profiles and metrics based on performance objectives.', 'Activate and manage Gamification.', 'Why Gamification', 'Introduction to Agent Activity and Leaderboards', 'Gamification Profiles', 'Gamification Metrics']",System Administrators; Administrators; Supervisors; Managers; Contact Center Managers
Genesys Cloud: Cloud Media Services - BYOC,https://beyond.genesys.com/explore/course/genesys-cloud-cloud-media-services-byoc,"Genesys Cloud: Cloud Media Services – Telephony Connection Options eLearning provides an overview of the Bring Your Own Carrier (BYOC) telephony options that use third-party services with Genesys Cloud. In addition to learning about the available BYOC solutions, learners will also gain an understanding about troubleshooting concepts related to BYOC Cloud and Premise configurations.",Elearning,20 mins,"['BYOC Third-Party Options', 'BYOC Troubleshooting']",System Administrators; Administrators
Genesys Cloud: WEM - Agent Activity View,https://beyond.genesys.com/explore/course/genesys-cloud-wem-agent-activity-view,This course introduces you to the basic concepts of the Agent Activity View screen—a tool that will help you manage your workday effectively. You will also learn how Agent Activity will gamify your workday and reward you with points based on your performance using a scorecard and leaderboard.,Elearning,15 mins,"['Understand Agent Activity View.', 'Analyze and understand the data in the Agent Activity View widgets.', 'Overview Tab', 'Scorecard Tab', 'Leaderboards Tab', 'Schedule Tab', 'Work Plan']",Agents
Genesys Cloud CX: SMS Basics for Agents,https://beyond.genesys.com/explore/course/genesys-cloud-cx-sms-basics-for-agents,This microlearning course teaches agents how to receive and send SMS messages using Genesys Cloud CX.,Elearning,5 mins,"['Receive an SMS message', 'Send an SMS message', 'Receive an SMS message', 'Send an SMS message']",Agents
Genesys Cloud: AI/Bots - Knowledge Workbench - Knowledge Portal,https://beyond.genesys.com/explore/course/genesys-cloud-ai-bots-knowledge-workbench-knowledge-portal,,,,[],Developers; System Administrators; Administrators; Business Users
Genesys Cloud CX: AI/Bots - Knowledge Workbench - Knowledge Optimizer,https://beyond.genesys.com/explore/course/genesys-cloud-cx-ai-bots-knowledge-workbench-knowledge-optimizer,,,,[],System Administrators; Administrators; Supervisors; Business Users
Genesys Cloud CX: AI/Bots - Agent Assist,https://beyond.genesys.com/explore/course/genesys-cloud-cx-ai-bots-agent-assist,,,,[],System Administrators; Administrators; Supervisors; Business Users
Genesys Cloud CX: AI - Predictive Engagement - Integrations for Developers,https://beyond.genesys.com/explore/course/genesys-cloud-cx-ai-predictive-engagement-integrations-for-developers,"This course explains the configuration of Genesys Predictive Engagement with third-party platforms. You will learn how to set up and pass on user information using data actions integration. In addition, the course describes how data actions integration, Architect workflow, and action maps work in tandem to provide information for the agents.",Elearning,20 mins,"['Genesys Cloud CX: Web Messaging', 'Genesys Cloud CX: AI - Predictive Engagement - Setup and Configuration', 'Genesys Cloud CX: AI - Predictive Engagement - Working with Action Maps', 'Describe the importance of integrating Genesys Predictive Engagement and third-party applications.', 'Install and configure data actions integration.', 'Configure and publish an Architect workflow to associate leads.', 'Configure an action map to use Architect flow action.']",Agents
Genesys Cloud CX: AI - Predictive Engagement - Reporting and Analytics,https://beyond.genesys.com/explore/course/genesys-cloud-cx-ai-predictive-engagement-reporting-and-analytics,Genesys Predictive Engagement (GPE) Reporting and Analytics uncovers correlations in the data gathered from your customer journeys.,Elearning,25 mins,"['Describe the data processing strategy adopted in the analytics process.', 'Explain the high-level usage of performance reports.', 'Analyze, customize, and execute performance reports.', 'Monitor content offers.', 'Analytics Overview', 'Action Map Performance Report', 'Segment Performance Report']",Administrators; Business Users
Genesys Cloud: WEM - Speech and Text Analytics - Getting Started,https://beyond.genesys.com/explore/course/genesys-cloud-wem-speech-and-text-analytics-getting-started,"Genesys Cloud: WEM - Speech and Text Analytics – Getting Started eLearning course introduces you to the basic concepts of Genesys Cloud CX Speech and Text Analytics. You will learn how to set up and configure Speech and Text Analytics in your organization. In addition, this course also briefs you about agent training using Speech and Text Analytics.",Elearning,15 mins,"['Describe Speech and Text Analytics.', 'Set up and configure Speech and Text Analytics.', 'Understand the use of Speech and Text Analytics.', 'Speech and Text Analytics Overview Setup and Configuration Speech and Text Analytics in Action', 'Speech and Text Analytics Overview', 'Setup and Configuration', 'Speech and Text Analytics in Action']",Agents
Genesys Cloud CX: AI - Predictive Engagement - Customer Journey for Agents,https://beyond.genesys.com/explore/course/genesys-cloud-cx-ai-predictive-engagement-customer-journey-for-agents,This course introduces you to the customer journey and helps you learn how to access and utilize customer journey information on Genesys Cloud CX.,Elearning,25 mins,"['Explain customer journey.', 'Access customer journey information.', 'Utilize customer journey information to improve customer experience.', 'The following topics are covered in this eLearning course:OverviewCustomer Journey ChannelsAccessing Customer JourneyCustomer Journey InformationCustomer Journey IconsInteraction Detail PageThe Customer Journey TabUse Cases', 'Overview', 'Customer Journey Channels', 'Accessing Customer Journey', 'Customer Journey Information']",Agents
Genesys Cloud CX: AI - Predictive Engagement - Working with Action Maps,https://beyond.genesys.com/explore/course/genesys-cloud-cx-ai-predictive-engagement-working-with-action-maps,"This course introduces you to the basic concepts of creating and implementing an action map. You will also learn how to trigger an action map, configure additional features, and the best practices to follow for action maps. In addition, you will also learn how to control an action map and the reasoning behind the triggering of action maps.",Elearning,35 mins,"['Explain action maps.', 'Create, configure and offer action maps.', 'Configure trigger for action maps.', 'List the various available actions.', 'Explain content offers.', 'Configure additional features for action maps.', 'Action Maps Overview']",System Administrators; Administrators; Business Users
Contact Center Metrics for Agents,https://beyond.genesys.com/explore/course/contact-center-metrics-for-agents,"This course introduces agents to contact center metrics, connecting their role to the goals and objectives of their organization.",Elearning,10 mins,"[""The relationship between an organization's goals and objectives to the tracked metrics"", 'Basic metrics that measure agent productivity and performance', 'The importance of metrics to an agent and the contact center', 'Why Should You Care About Metrics?Metrics and YouHow Can Metrics Help Agents?', 'Why Should You Care About Metrics?', 'Metrics and You', 'How Can Metrics Help Agents?']",Business Users
Genesys Cloud CX: AI/Bots - Agent Assist for Agents,https://beyond.genesys.com/explore/course/genesys-cloud-cx-ai-bots-agent-assist-for-agents,,,,[],System Administrators; Administrators
Genesys Cloud CX: AI/Bots - Digital Bot Flow Actions and Tasks,https://beyond.genesys.com/explore/course/genesys-cloud-cx-ai-bots-digital-bot-flow-actions-and-tasks,,,,[],Agents
